Station Code,Locations,State,Temperature,Dissolved.Oxygen ,pH,Conductivity ,BOD ,Nitrate ,Fecal.Coliform 
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,26.9,5.7,7.8,27079,7.8,1.5,167
2676,"MUCHKUNDI RIVER AT WAKED, RATNAGIRI",MAHARASHTRA,26.2,6.8,7.9,472,2.9,1.5,3
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD",MAHARASHTRA,27.9,6.2,7.1,1681,13,1.6,137
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD",MAHARASHTRA,28,6.6,7.4,163,3.6,0.9,60
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD",MAHARASHTRA,28.2,6.6,7.4,145,4.4,0.9,49
2689,"PATALGANGA AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD",MAHARASHTRA,27.9,6.7,7.6,158,4,0.6,71
2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,28.2,6.8,7.5,231,3,2.3,4
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD, RAIGAD",MAHARASHTRA,28.5,6.6,7.6,1849,3.2,2.3,3
2703,SAVITRI RIVER AT DADLI BRIDGE,MAHARASHTRA,28.6,6.6,7.6,5885,3.4,3.6,4
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,28.6,6.6,7.5,8514,4.1,3.3,4
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.5,6.8,8.1,1907,4.1,0.7,34
2708,"SURYA RIVER AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA,27.5,7,8.1,185,3.7,0.6,39
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,27.4,6.8,7.9,191,4,0.5,29
2712,"VAITARNA RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE",MAHARASHTRA,27.5,6.9,7.9,186,4,0.6,32
2713,VASHISHTI RIVER AT D/S OF THREE M PAPER MILLS NEAR CHIPLUN WATER INTAKE JACKWELL,MAHARASHTRA,23.9,6.8,7.6,197,2.9,1.4,3
2714,VASHISTI AT U/S OF POPHALI NR KONPHANSAWANE BRIDGE,MAHARASHTRA,24,7.1,7.5,214,2.5,2,3
2780,"KALI AT U/S OF WCPM, DANDELI",KARNATAKA,26.8,7.5,7.4,115,2,1.1,261
2947,RIVER JAWAI AT JAWAI DAM,RAJASTHAN,26.1,5.5,8.1,524,1.3,0.4,4
2948,BANDI AT HEMAWAS DAM,RAJASTHAN,24.7,5.7,8,534,1.3,0.4,5
